Mã Tài Sản,Tên Thiết Bị,Danh Mục,Model/Kích Thước,Số Serial/Mã Lô,Phòng Ban,Vị Trí,Người Quản Lý,Trạng Thái,Nguyên Giá (VNĐ),Ngày Mua,Ghi Chú
AST-00001,Bộ Máy Hàn TIG Điện Tử 250A #1,Dụng Cụ Công Nghiệp,Jasic TIG-250A,SN-2026-42814,DEPT-WAREHOUSE,Kho Dụng Cụ Kỹ Thuật - Ô 8,Trần Văn Nam,REPAIR,12452120,2026-01-02,Tài sản mẫu kiểm thử số 1
AST-00002,Xe Nâng Điện Toyota 2.5 Tấn #2,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-75033,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 2,Nguyễn Văn Hùng,LOANED,420029540,2026-01-03,Tài sản mẫu kiểm thử số 2
AST-00003,Pallet Nhựa 2 Mặt Tải Trọng Nặng #3,Pallet Nhựa,1200x1200x160mm,SN-2026-24119,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 97,Phạm Thị Lan,ACTIVE,655500,2026-01-04,Tài sản mẫu kiểm thử số 3
AST-00004,Máy In Tem Nhãn QR Code Thermal #4,Thiết Bị IT,Xprinter XP-420B,SN-2026-11875,DEPT-IT,Tầng 4 - Phòng IT - Ô 60,Nguyễn Thị Hoa,REPAIR,2799290,2026-01-05,Tài sản mẫu kiểm thử số 4
AST-00005,Máy Nén Khí Piston 15HP #5,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-84609,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 18,Phạm Thị Lan,ACTIVE,34960380,2026-01-06,Tài sản mẫu kiểm thử số 5
AST-00006,Ghế Xoay Lưới Công Trình Ergonomic #6,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-63788,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 60,Lê Vũ Tường,ACTIVE,1893860,2026-01-07,Tài sản mẫu kiểm thử số 6
AST-00007,Máy In Tem Nhãn QR Code Thermal #7,Thiết Bị IT,Xprinter XP-420B,SN-2026-53454,DEPT-IT,Tầng 4 - Phòng IT - Ô 89,Phạm Minh Đức,ACTIVE,2778320,2026-01-08,Tài sản mẫu kiểm thử số 7
AST-00008,Ghế Xoay Lưới Công Trình Ergonomic #8,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-41080,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 97,Phạm Minh Đức,SPARE,1892710,2026-01-09,Tài sản mẫu kiểm thử số 8
AST-00009,Pallet Gỗ Thông Xuất Khẩu Euro #9,Pallet Gỗ,1200x800x144mm,SN-2026-83850,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 18,Nguyễn Thị Hoa,ACTIVE,286260,2026-01-10,Tài sản mẫu kiểm thử số 9
AST-00010,Ghế Xoay Lưới Công Trình Ergonomic #10,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-47232,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 100,Lê Vũ Tường,ACTIVE,1860550,2026-01-11,Tài sản mẫu kiểm thử số 10
AST-00011,Ghế Xoay Lưới Công Trình Ergonomic #11,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-47030,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 65,Phạm Thị Lan,ACTIVE,1814150,2026-01-12,Tài sản mẫu kiểm thử số 11
AST-00012,Xe Nâng Điện Toyota 2.5 Tấn #12,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-93234,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 29,Trần Văn Nam,LOANED,420023010,2026-01-13,Tài sản mẫu kiểm thử số 12
AST-00013,Máy In Tem Nhãn QR Code Thermal #13,Thiết Bị IT,Xprinter XP-420B,SN-2026-15559,DEPT-IT,Tầng 4 - Phòng IT - Ô 79,Hoàng Văn Thái,ACTIVE,2796890,2026-01-14,Tài sản mẫu kiểm thử số 13
AST-00014,Pallet Nhựa Đen 1200x1000mm #14,Pallet Nhựa,1200x1000x150mm,SN-2026-24339,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 5,Phạm Minh Đức,ACTIVE,410470,2026-01-15,Tài sản mẫu kiểm thử số 14
AST-00015,Laptop Dell Latitude 5440 i7 #15,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-73611,DEPT-IT,Tầng 4 - Phòng IT - Ô 61,Nguyễn Văn Hùng,LOANED,22529400,2026-01-16,Tài sản mẫu kiểm thử số 15
AST-00016,Pallet Gỗ Thông Xuất Khẩu Euro #16,Pallet Gỗ,1200x800x144mm,SN-2026-75448,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 35,Lê Vũ Tường,ACTIVE,286370,2026-01-17,Tài sản mẫu kiểm thử số 16
AST-00017,Xe Nâng Điện Toyota 2.5 Tấn #17,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-58375,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 41,Hoàng Văn Thái,ACTIVE,419998860,2026-01-18,Tài sản mẫu kiểm thử số 17
AST-00018,Laptop Dell Latitude 5440 i7 #18,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-40491,DEPT-IT,Tầng 4 - Phòng IT - Ô 84,Phạm Minh Đức,ACTIVE,22463610,2026-01-19,Tài sản mẫu kiểm thử số 18
AST-00019,Máy Nén Khí Piston 15HP #19,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-80047,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 63,Trần Văn Nam,ACTIVE,35032410,2026-01-20,Tài sản mẫu kiểm thử số 19
AST-00020,Pallet Gỗ Thông Xuất Khẩu Euro #20,Pallet Gỗ,1200x800x144mm,SN-2026-73195,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 59,Nguyễn Thị Hoa,ACTIVE,292500,2026-01-21,Tài sản mẫu kiểm thử số 20
AST-00021,Xe Nâng Điện Toyota 2.5 Tấn #21,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-69847,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 38,Trần Văn Nam,SPARE,420039240,2026-01-22,Tài sản mẫu kiểm thử số 21
AST-00022,Máy In Tem Nhãn QR Code Thermal #22,Thiết Bị IT,Xprinter XP-420B,SN-2026-60721,DEPT-IT,Tầng 4 - Phòng IT - Ô 74,Nguyễn Thị Hoa,ACTIVE,2796980,2026-01-23,Tài sản mẫu kiểm thử số 22
AST-00023,Màn Hình Dell UltraSharp 27 inch 4K #23,Thiết Bị IT,U2723QE,SN-2026-59051,DEPT-IT,Tầng 4 - Phòng IT - Ô 98,Nguyễn Thị Hoa,ACTIVE,12792400,2026-01-24,Tài sản mẫu kiểm thử số 23
AST-00024,Máy Điều Hòa Âm Trần Daikin 36000BTU #24,Thiết Bị Văn Phòng,FCNQ36MV1,SN-2026-19560,DEPT-OFFICE,Tầng 5 - Phòng Họp Lớn - Ô 36,Trần Văn Nam,ACTIVE,37956270,2026-01-25,Tài sản mẫu kiểm thử số 24
AST-00025,Máy In Tem Nhãn QR Code Thermal #25,Thiết Bị IT,Xprinter XP-420B,SN-2026-11082,DEPT-IT,Tầng 4 - Phòng IT - Ô 30,Phạm Thị Lan,ACTIVE,2842950,2026-01-26,Tài sản mẫu kiểm thử số 25
AST-00026,Ghế Xoay Lưới Công Trình Ergonomic #26,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-42184,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 75,Phạm Minh Đức,SPARE,1853770,2026-01-27,Tài sản mẫu kiểm thử số 26
AST-00027,Màn Hình Dell UltraSharp 27 inch 4K #27,Thiết Bị IT,U2723QE,SN-2026-54949,DEPT-IT,Tầng 4 - Phòng IT - Ô 85,Nguyễn Thị Hoa,LOANED,12819280,2026-01-28,Tài sản mẫu kiểm thử số 27
AST-00028,Xe Nâng Điện Toyota 2.5 Tấn #28,Máy Móc Nhà Máy,Toyota 8FBN25,SN-2026-35713,DEPT-FACTORY,Nhà Máy A1 - Cầu Cảng - Ô 93,Trần Văn Nam,ACTIVE,420035860,2026-01-01,Tài sản mẫu kiểm thử số 28
AST-00029,Pallet Gỗ Thông Xuất Khẩu Euro #29,Pallet Gỗ,1200x800x144mm,SN-2026-83197,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 74,Nguyễn Văn Hùng,ACTIVE,264050,2026-01-02,Tài sản mẫu kiểm thử số 29
AST-00030,Laptop Dell Latitude 5440 i7 #30,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-19283,DEPT-IT,Tầng 4 - Phòng IT - Ô 61,Nguyễn Văn Hùng,ACTIVE,22534420,2026-01-03,Tài sản mẫu kiểm thử số 30
AST-00031,Pallet Nhựa Đen 1200x1000mm #31,Pallet Nhựa,1200x1000x150mm,SN-2026-62164,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 46,Phạm Thị Lan,SPARE,420250,2026-01-04,Tài sản mẫu kiểm thử số 31
AST-00032,Màn Hình Dell UltraSharp 27 inch 4K #32,Thiết Bị IT,U2723QE,SN-2026-45291,DEPT-IT,Tầng 4 - Phòng IT - Ô 40,Nguyễn Văn Hùng,LOANED,12794900,2026-01-05,Tài sản mẫu kiểm thử số 32
AST-00033,Pallet Nhựa Xanh Lót Sàn #33,Pallet Nhựa,1100x1100x120mm,SN-2026-38301,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 97,Phạm Minh Đức,ACTIVE,366470,2026-01-06,Tài sản mẫu kiểm thử số 33
AST-00034,Máy Nén Khí Piston 15HP #34,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-27788,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 92,Hoàng Văn Thái,ACTIVE,35023910,2026-01-07,Tài sản mẫu kiểm thử số 34
AST-00035,Ghế Xoay Lưới Công Trình Ergonomic #35,Thiết Bị Văn Phòng,Hòa Phát EG-01,SN-2026-40491,DEPT-OFFICE,Tầng 5 - Khối Văn Phòng - Ô 4,Phạm Thị Lan,LOANED,1864710,2026-01-08,Tài sản mẫu kiểm thử số 35
AST-00036,Pallet Nhựa Xanh Lót Sàn #36,Pallet Nhựa,1100x1100x120mm,SN-2026-36246,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 64,Nguyễn Văn Hùng,LOANED,412140,2026-01-09,Tài sản mẫu kiểm thử số 36
AST-00037,Laptop Dell Latitude 5440 i7 #37,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-34315,DEPT-IT,Tầng 4 - Phòng IT - Ô 91,Phạm Minh Đức,LOANED,22546200,2026-01-10,Tài sản mẫu kiểm thử số 37
AST-00038,Laptop Dell Latitude 5440 i7 #38,Thiết Bị IT,Core i7 16GB 512GB,SN-2026-96014,DEPT-IT,Tầng 4 - Phòng IT - Ô 44,Phạm Minh Đức,LOANED,22504890,2026-01-11,Tài sản mẫu kiểm thử số 38
AST-00039,Máy Nén Khí Piston 15HP #39,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-46026,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 54,Phạm Thị Lan,REPAIR,35027750,2026-01-12,Tài sản mẫu kiểm thử số 39
AST-00040,Màn Hình Dell UltraSharp 27 inch 4K #40,Thiết Bị IT,U2723QE,SN-2026-31839,DEPT-IT,Tầng 4 - Phòng IT - Ô 40,Phạm Thị Lan,ACTIVE,12767750,2026-01-13,Tài sản mẫu kiểm thử số 40
AST-00041,Pallet Gỗ Thông Xuất Khẩu Euro #41,Pallet Gỗ,1200x800x144mm,SN-2026-59595,DEPT-WAREHOUSE,Kho Xuất Hàng C - Ô 37,Nguyễn Văn Hùng,ACTIVE,241850,2026-01-14,Tài sản mẫu kiểm thử số 41
AST-00042,Máy In Tem Nhãn QR Code Thermal #42,Thiết Bị IT,Xprinter XP-420B,SN-2026-85568,DEPT-IT,Tầng 4 - Phòng IT - Ô 6,Hoàng Văn Thái,SPARE,2816180,2026-01-15,Tài sản mẫu kiểm thử số 42
AST-00043,Pallet Nhựa 2 Mặt Tải Trọng Nặng #43,Pallet Nhựa,1200x1200x160mm,SN-2026-20386,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 99,Trần Văn Nam,SPARE,609270,2026-01-16,Tài sản mẫu kiểm thử số 43
AST-00044,Màn Hình Dell UltraSharp 27 inch 4K #44,Thiết Bị IT,U2723QE,SN-2026-31553,DEPT-IT,Tầng 4 - Phòng IT - Ô 7,Lê Vũ Tường,ACTIVE,12760690,2026-01-17,Tài sản mẫu kiểm thử số 44
AST-00045,Pallet Nhựa Đen 1200x1000mm #45,Pallet Nhựa,1200x1000x150mm,SN-2026-84054,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 75,Lê Vũ Tường,REPAIR,454180,2026-01-18,Tài sản mẫu kiểm thử số 45
AST-00046,Máy Nén Khí Piston 15HP #46,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-27986,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 14,Phạm Thị Lan,REPAIR,34994760,2026-01-19,Tài sản mẫu kiểm thử số 46
AST-00047,Pallet Nhựa Đen 1200x1000mm #47,Pallet Nhựa,1200x1000x150mm,SN-2026-40134,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 43,Nguyễn Văn Hùng,ACTIVE,472990,2026-01-20,Tài sản mẫu kiểm thử số 47
AST-00048,Máy Nén Khí Piston 15HP #48,Máy Móc Nhà Máy,Pegasus T-15,SN-2026-25848,DEPT-FACTORY,Xưởng Cơ Khí A2 - Ô 59,Trần Văn Nam,ACTIVE,35016820,2026-01-21,Tài sản mẫu kiểm thử số 48
AST-00049,Máy In Tem Nhãn QR Code Thermal #49,Thiết Bị IT,Xprinter XP-420B,SN-2026-50844,DEPT-IT,Tầng 4 - Phòng IT - Ô 29,Hoàng Văn Thái,SPARE,2847380,2026-01-22,Tài sản mẫu kiểm thử số 49
AST-00050,Máy In Tem Nhãn QR Code Thermal #50,Thiết Bị IT,Xprinter XP-420B,SN-2026-94607,DEPT-IT,Tầng 4 - Phòng IT - Ô 7,Phạm Minh Đức,ACTIVE,2766910,2026-01-23,Tài sản mẫu kiểm thử số 50
AST-00051,Pallet Nhựa Đen 1200x1000mm #51,Pallet Nhựa,1200x1000x150mm,SN-2026-75693,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 38,Phạm Minh Đức,ACTIVE,497930,2026-01-24,Tài sản mẫu kiểm thử số 51
AST-00052,Pallet Nhựa 2 Mặt Tải Trọng Nặng #52,Pallet Nhựa,1200x1200x160mm,SN-2026-45903,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 58,Phạm Minh Đức,ACTIVE,596750,2026-01-25,Tài sản mẫu kiểm thử số 52
AST-00053,Pallet Nhựa Xanh Lót Sàn #53,Pallet Nhựa,1100x1100x120mm,SN-2026-44989,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy B - Ô 1,Phạm Thị Lan,SPARE,351070,2026-01-26,Tài sản mẫu kiểm thử số 53
AST-00054,Máy In Tem Nhãn QR Code Thermal #54,Thiết Bị IT,Xprinter XP-420B,SN-2026-99787,DEPT-IT,Tầng 4 - Phòng IT - Ô 55,Nguyễn Thị Hoa,ACTIVE,2782620,2026-01-27,Tài sản mẫu kiểm thử số 54
AST-00055,Pallet Nhựa 2 Mặt Tải Trọng Nặng #55,Pallet Nhựa,1200x1200x160mm,SN-2026-74649,DEPT-WAREHOUSE,Kho Hàng A1 - Kệ Heavy Duty - Ô 20,Nguyễn Thị Hoa,ACTIVE,591640,2026-01-28,Tài sản mẫu kiểm thử số 55
AST-00056,Pallet Nhựa Đen 1200x1000mm #56,Pallet Nhựa,1200x1000x150mm,SN-2026-98028,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 4,Hoàng Văn Thái,REPAIR,498890,2026-01-01,Tài sản mẫu kiểm thử số 56
AST-00057,Pallet Nhựa Đen 1200x1000mm #57,Pallet Nhựa,1200x1000x150mm,SN-2026-30128,DEPT-WAREHOUSE,Kho Vật Tư Tổng - Dãy A - Ô 61,Phạm Minh Đức,REPAIR,461530,2026-01-02,Tài sản mẫu kiểm thử số 57
